Id,Horodateur,Tu es ...,"Ton age ? (Juste le nombre, ex: 19)",Que fais-tu à l'UTC ? ,Ton semestre et ta branche si nécessaire ? (ex: GM04),Est-ce que tu vas au Pic ?,Est-ce que tu bois de l'alcool ?,Tes préférences : [Cidre Loic Raison],Tes préférences : [Chimay Bleue],Tes préférences : [Duvel],Tes préférences : [Grand Cru St Feuillien],Tes préférences : [Pêche Mel Bush],Tes préférences : [Westmalle Triple],Tes préférences : [Barbar Blonde],Tes préférences : [Chouffe],Tes préférences : [Cuvée Des Trolls],Tes préférences : [Delirium Tremens],Tes préférences : [Gauloise Rouge],"Combien bois tu de bières (en moyenne) quand tu viens au Pic ? (Juste le nombre, ex: 3)","Combien de temps te faut-il (en moyenne) pour boire ta bière ? (Juste le nombre de minutes, ex: 20)",A quelle heure arrives-tu en général au Pic ?,Et à quelle heure repars-tu ?,"Quel est ton budget maximum par soir ? (Juste le nombre d'euros, ex: 10)","En général, manges-tu avant d'aller au Pic ?",Quels jours viens-tu au pic ? (En général),Note ta sensibilité à l'alcool :,"Avec combien de potes en moyenne tu passes ta soirée ? (Juste le nombre, ex: 5)",As-tu déjà été permanencier au Pic ?,"Combien de temps te faut-il, en moyenne, pour servir une bière ? (Nombre de secondes, ex: 45)"
1,07/06/2017 17:35:47,Un homme,22,Branche,Gx04,Oui,Oui,Je déteste !,Je déteste !,Je déteste !,Je déteste !,Bof...,Je déteste !,Je déteste !,Je déteste !,Je déteste !,Je déteste !,J'adore !,2,33,20:30:00,22:00:00,No limit,"Non, je mange un menu au Pic","Lundi, Mardi, Mercredi, Jeudi, Vendredi",4,6,Non,
2,07/06/2017 17:36:01,Un homme,20,Tronc commun,TC04,Oui,Oui,Pas mal,Jamais bu,Bof...,Pas mal,Je déteste !,Jamais bu,J'adore !,Pas mal,J'adore !,J'adore !,Je déteste !,3,15,19:00:00,22:00:00,7,"Non, je mange un menu au Pic","Mardi, Jeudi, Vendredi",2,10,Oui,30
3,07/06/2017 17:36:03,Un homme,21,Branche,GI04,Non,,,,,,,,,,,,,,,,,,,,,,,
4,07/06/2017 17:36:42,Un homme,22,Branche,GSM05,Oui,Oui,Pas mal,Jamais bu,Jamais bu,Pas mal,Pas mal,Jamais bu,Pas mal,Jamais bu,Bof...,J'adore !,Pas mal,3,120,20:00:00,22:15:00,10,Oui,"Jeudi, Vendredi",2,5,Oui,20
5,07/06/2017 17:36:43,Un homme,22,Branche,GM04,Oui,Oui,Jamais bu,J'adore !,J'adore !,J'adore !,Bof...,Pas mal,J'adore !,Pas mal,Bof...,Pas mal,Bof...,4,20,19:30:00,22:00:00,8,"Non, manger c'est triché","Mercredi, Jeudi, Vendredi",3,6,Non,
6,07/06/2017 17:37:09,Un homme,23,Branche,Gsu04,Oui,Oui,Jamais bu,Pas mal,Pas mal,Pas mal,Pas mal,J'adore !,Pas mal,J'adore !,J'adore !,J'adore !,Pas mal,2,15,20:30:00,22:00:00,5,Oui,"Mardi, Jeudi, Vendredi",4,4,Oui,60
7,07/06/2017 17:37:12,Un homme,21,Branche,GI04,Oui,Oui,Jamais bu,Pas mal,Pas mal,J'adore !,Jamais bu,Pas mal,J'adore !,Bof...,Pas mal,J'adore !,Pas mal,2,20,19:00:00,21:30:00,5,Oui,"Mardi, Mercredi, Jeudi",2,5,Oui,20
8,07/06/2017 17:37:14,Un homme,24,Branche,GP09,Oui,Oui,Jamais bu,Pas mal,Pas mal,J'adore !,Bof...,Jamais bu,Pas mal,Pas mal,J'adore !,J'adore !,Je déteste !,4,20,20:15:00,22:00:00,10,"Non, manger c'est triché","Mardi, Mercredi, Jeudi, Vendredi",4,3,Oui,30
9,07/06/2017 17:37:18,Une femme,20,Branche,GM02,Oui,Oui,J'adore !,,Jamais bu,Pas mal,Bof...,Pas mal,J'adore !,Pas mal,Pas mal,J'adore !,J'adore !,4,20,20:00:00,22:30:00,Aucun budget,Oui,"Jeudi, Vendredi",2,5,Oui,45
10,07/06/2017 17:37:22,Un homme,24,Branche,GP07,Oui,Oui,Pas mal,Pas mal,Pas mal,Pas mal,Jamais bu,Pas mal,Jamais bu,Jamais bu,Pas mal,J'adore !,J'adore !,3,20,19:00:00,22:00:00,8,"Non, je mange des snacks au Pic","Lundi, Mardi, Mercredi, Jeudi",3,2,Oui,40
11,07/06/2017 17:37:28,Un homme,19,Tronc commun,TC03,Oui,Oui,Jamais bu,Bof...,Bof...,Bof...,Pas mal,Jamais bu,J'adore !,J'adore !,Pas mal,J'adore !,Pas mal,2,18,20:00:00,22:00:00,5,Oui,"Mardi, Jeudi",4,12,Oui,45
12,07/06/2017 17:37:41,Un homme,21,Branche,GI04,Oui,Oui,Jamais bu,Pas mal,Pas mal,Pas mal,Bof...,J'adore !,J'adore !,J'adore !,Pas mal,J'adore !,Pas mal,4,15,19:30:00,22:00:00,12,"Non, manger c'est triché","Mardi, Mercredi, Jeudi, Vendredi",4,3,Non,
13,07/06/2017 17:37:54,Une femme,21,Branche,Gsm02,Oui,Oui,Pas mal,Jamais bu,Jamais bu,Jamais bu,J'adore !,Pas mal,J'adore !,Pas mal,Pas mal,J'adore !,Pas mal,2,20,20:00:00,22:00:00,,Oui,"Mardi, Jeudi",2,4,Non,
14,07/06/2017 17:38:00,Un homme,21,Branche,GI04,Oui,Oui,Jamais bu,Jamais bu,Je déteste !,Pas mal,Je déteste !,Jamais bu,J'adore !,Je déteste !,J'adore !,Bof...,Je déteste !,4,15,19:30:00,22:00:00,20,"Non, je mange des snacks au Pic","Mercredi, Jeudi, Vendredi",3,4,Non,
15,07/06/2017 17:38:14,Un homme,23,Professeur-chercheur,8==D,Oui,Oui,Pas mal,Pas mal,Bof...,J'adore !,Je déteste !,Bof...,Bof...,Bof...,J'adore !,J'adore !,Je déteste !,6,7,18:00:00,22:00:00,20,"Non, manger c'est triché","Lundi, Mardi, Mercredi, Jeudi, Vendredi",5,10,Oui,10
16,07/06/2017 17:39:03,Une femme,22,Master,GPf,Oui,Oui,Jamais bu,Pas mal,Pas mal,J'adore !,Jamais bu,Pas mal,Pas mal,J'adore !,Pas mal,Pas mal,Jamais bu,3,30,20:00:00,22:00:00,5€,"Non, manger c'est triché","Mercredi, Jeudi, Vendredi",4,6,Oui,30
17,07/06/2017 17:39:24,Une femme,21,Branche,Gb02,Oui,Oui,Jamais bu,Jamais bu,Pas mal,Pas mal,J'adore !,Jamais bu,Je déteste !,Bof...,Jamais bu,Pas mal,J'adore !,2,30,20:00:00,22:00:00,10,Oui,"Jeudi, Vendredi",4,8,Oui,50
18,07/06/2017 17:39:26,Un homme,21,Branche,GSM02,Oui,Oui,Bof...,Bof...,Bof...,J'adore !,Bof...,Jamais bu,J'adore !,J'adore !,Bof...,Jamais bu,Bof...,3,20,19:00:00,22:05:00,6,Oui,"Mardi, Jeudi, Vendredi",3,8,Oui,40
19,07/06/2017 17:39:41,Une femme,18,Tronc commun,Tc02,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,Jamais bu,J'adore !,Jamais bu,J'adore !,Jamais bu,Jamais bu,Jamais bu,J'adore !,2,15,20:00:00,22:00:00,5,Oui,Mercredi,2,3,Oui,60
20,07/06/2017 17:40:23,Une femme,23,Branche,GI04,Oui,Oui,Pas mal,Jamais bu,Jamais bu,Bof...,Je déteste !,Jamais bu,Jamais bu,Jamais bu,Pas mal,Pas mal,J'adore !,2,20,19:00:00,22:00:00,10,Oui,"Lundi, Jeudi, Vendredi",4,4,Non,
21,07/06/2017 17:40:24,Une femme,20,Branche,GB02,Oui,Oui,Pas mal,Jamais bu,Pas mal,,J'adore !,Bof...,J'adore !,Pas mal,Pas mal,J'adore !,Bof...,3,12,20:15:00,22:00:00,10,Oui,"Mercredi, Jeudi, Vendredi",3,8,Oui,40
22,07/06/2017 17:40:29,Une femme,22,Branche,GP04,Oui,Oui,Pas mal,Bof...,Bof...,Bof...,Bof...,Bof...,J'adore !,J'adore !,J'adore !,J'adore !,Je déteste !,4,25,19:45:00,22:00:00,10,Oui,"Mercredi, Jeudi, Vendredi",3,6,Oui,
23,07/06/2017 17:40:49,Un homme,23,Branche,Gm06,Oui,Oui,Jamais bu,Pas mal,J'adore !,Jamais bu,Bof...,Pas mal,Pas mal,Pas mal,J'adore !,J'adore !,Pas mal,4,30,20:00:00,22:30:00,10,Oui,"Lundi, Mercredi, Vendredi",3,6,Oui,"37,54"
24,07/06/2017 17:40:50,Une femme,19,Tronc commun,TC02,Oui,Oui,Jamais bu,Jamais bu,Pas mal,Pas mal,J'adore !,Jamais bu,J'adore !,Jamais bu,Jamais bu,J'adore !,J'adore !,2,40,20:00:00,22:00:00,4,"Non, manger c'est triché","Mercredi, Jeudi",1,4,Non,
25,07/06/2017 17:41:25,Une femme,22,Branche,GI04,Oui,Oui,Bof...,Bof...,Bof...,Bof...,Bof...,J'adore !,J'adore !,Pas mal,Bof...,Bof...,Bof...,3,40,19:30:00,22:00:00,10,,"Mercredi, Jeudi, Vendredi",2,4,Oui,3
26,07/06/2017 17:41:29,Une femme,20,Tronc commun,TC03,Oui,Oui,J'adore !,Bof...,Bof...,J'adore !,J'adore !,Je déteste !,Pas mal,Bof...,Jamais bu,Je déteste !,Je déteste !,2,20,20:00:00,22:00:00,5,Oui,"Lundi, Mardi, Jeudi",2,10,Oui,60
27,07/06/2017 17:41:36,Une femme,18,Tronc commun,TC02,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,Pas mal,Jamais bu,Pas mal,J'adore !,Jamais bu,Jamais bu,J'adore !,Pas mal,1 ou 2,30min,19:30:00,22:00:00,5,,"Mercredi, Vendredi",1,2,Non,
28,07/06/2017 17:41:47,Un homme,18,Branlette,TC02,Oui,Oui,J'adore !,Bof...,Pas mal,Pas mal,Pas mal,J'adore !,J'adore !,Bof...,Pas mal,J'adore !,Bof...,2,20,20:00:00,22:00:00,6,Oui,"Jeudi, Vendredi",3,6,Non,
29,07/06/2017 17:41:50,Un homme,23,Branche,GI04,Non,,,,,,,,,,,,,,,,,,,,,,,
30,07/06/2017 17:41:52,Un homme,23,Branche,GI04,Oui,Oui,Bof...,Pas mal,J'adore !,J'adore !,Pas mal,J'adore !,Pas mal,Pas mal,J'adore !,J'adore !,Bof...,3,20,19:30:00,22:00:00,10,Oui,"Mercredi, Jeudi, Vendredi",4,4,Oui,15
31,07/06/2017 17:41:52,Une femme,22,Branche,GSM04,Oui,Oui,Pas mal,Bof...,Bof...,Bof...,Je déteste !,Je déteste !,J'adore !,Je déteste !,J'adore !,Pas mal,Je déteste !,3,30,20:00:00,22:00:00,10,Oui,"Mercredi, Jeudi, Vendredi",4,5,Oui,20
32,07/06/2017 17:42:30,Un homme,20,Branche,GI04,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,J'adore !,Jamais bu,Jamais bu,Je déteste !,Pas mal,J'adore !,J'adore !,Je déteste !,2,7,18:30:00,19:30:00,10,Oui,Jeudi,2,4,Non,
33,07/06/2017 17:43:10,Une femme,22,Branche,Gm04,Oui,Oui,Pas mal,Jamais bu,Bof...,Bof...,J'adore !,Bof...,Pas mal,J'adore !,J'adore !,Pas mal,J'adore !,1,30,19:30:00,22:00:00,5,Oui,"Mercredi, Jeudi, Vendredi",2,7,Non,
34,07/06/2017 17:43:20,Un homme,21,Branche,GI04,Oui,Oui,Pas mal,Bof...,Bof...,Pas mal,Pas mal,Je déteste !,Pas mal,J'adore !,J'adore !,J'adore !,Bof...,3,30,20:00:00,22:00:00,Osef,"Non, je mange des snacks au Pic","Jeudi, Vendredi",3,5,Oui,30
35,07/06/2017 17:43:22,Une femme,20,Tronc commun,TC02,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,J'adore !,J'adore !,Jamais bu,J'adore !,Jamais bu,Jamais bu,J'adore !,J'adore !,3,20,20:30:00,22:00:00,10,Oui,"Jeudi, Vendredi",2,8,Non,
36,07/06/2017 17:43:46,Une femme,21,Branche,GI01,Oui,Oui,Pas mal,Pas mal,Bof...,Bof...,Je déteste !,Pas mal,Pas mal,J'adore !,Bof...,J'adore !,Je déteste !,2,30,20:30:00,22:00:00,10,Oui,Jeudi,4,8,Oui,45
37,07/06/2017 17:44:00,Un homme,23,Branche,GI04,Oui,Oui,Jamais bu,Pas mal,Bof...,Pas mal,Jamais bu,J'adore !,Pas mal,J'adore !,Jamais bu,Bof...,Jamais bu,2,20,18:30:00,22:00:00,6€,"Non, manger c'est tricher","Lundi, Mardi, Mercredi, Jeudi, Vendredi",5,10,Non,
38,07/06/2017 17:44:14,Un homme,19,Tronc commun,TC02,Oui,,Jamais bu,Pas mal,Jamais bu,Jamais bu,Pas mal,Pas mal,J'adore !,J'adore !,J'adore !,Jamais bu,Jamais bu,2,15,20:00:00,22:00:00,10,Oui,Mercredi,3,5,Non,
39,07/06/2017 17:44:29,Un homme,20,Branche,GI04,Oui,Oui,Pas mal,Bof...,Je déteste !,J'adore !,Je déteste !,Pas mal,J'adore !,Pas mal,J'adore !,J'adore !,Je déteste !,4,17,20:00:00,21:30:00,20,Oui,"Mardi, Mercredi, Jeudi, Vendredi",4,2,Oui,20
40,07/06/2017 17:44:29,Une femme,24,Branche,GI04,Oui,Oui,Jamais bu,Pas mal,Pas mal,Bof...,Je déteste !,J'adore !,Bof...,J'adore !,Pas mal,J'adore !,Pas mal,5,30,19:00:00,22:15:00,15,"Non, je mange des snacks au Pic","Mardi, Mercredi, Jeudi",4,6,Oui,30
41,07/06/2017 17:45:00,Un homme,20,Branche,GSM02,Oui,Oui,J'adore !,Jamais bu,Pas mal,J'adore !,Pas mal,J'adore !,J'adore !,Jamais bu,,J'adore !,J'adore !,2,20,19:30:00,22:00:00,4,"Non, manger c'est tricher","Jeudi, Vendredi",1,4,Oui,30
42,07/06/2017 17:45:04,Une femme,22,Master,,Oui,Oui,Jamais bu,Pas mal,Pas mal,Pas mal,Je déteste !,,Pas mal,J'adore !,J'adore !,J'adore !,Je déteste !,3,20,20:00:00,22:00:00,10,Oui,"Lundi, Mardi, Mercredi, Jeudi, Vendredi",3,9,Oui,60
43,07/06/2017 17:45:21,Une femme,21,Branche,GB06,Oui,Oui,J'adore !,Jamais bu,Je déteste !,Jamais bu,Bof...,Jamais bu,Jamais bu,Je déteste !,Jamais bu,Jamais bu,Pas mal,"0,5",30,20:00:00,22:00:00,5,"Non, je mange des snacks au Pic","Jeudi, Vendredi",2,3,Oui,60
44,07/06/2017 17:45:41,Un homme,21,Branche,GSU04,Oui,Oui,Pas mal,Pas mal,Pas mal,Pas mal,J'adore !,Pas mal,Bof...,Pas mal,Pas mal,J'adore !,J'adore !,3,30,19:00:00,22:00:00,6,"Non, je mange des snacks au Pic","Lundi, Mardi, Mercredi, Jeudi, Vendredi",3,5,Oui,10
45,07/06/2017 17:45:50,Une femme,18,Tronc commun,TC01,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Pas mal,Jamais bu,J'adore !,Jamais bu,Jamais bu,J'adore !,J'adore !,2,15,18:30:00,20:30:00,6,"Non, je mange un menu au Pic",Jeudi,3,2,Oui,60
46,07/06/2017 17:46:28,Une femme,20,Tronc commun,TC04,Oui,Oui,Jamais bu,Bof...,Pas mal,J'adore !,Je déteste !,J'adore !,Bof...,Bof...,Pas mal,J'adore !,Je déteste !,2/3,30,18:30:00,21:03:00,10,"Non, je mange des snacks au Pic","Lundi, Mardi, Vendredi",4,4,Oui,50
47,07/06/2017 17:47:20,Un homme,21,Branche,GI02,Oui,Oui,Jamais bu,Pas mal,Pas mal,J'adore !,Bof...,Bof...,Pas mal,Bof...,J'adore !,J'adore !,Je déteste !,4,20,20:00:00,22:00:00,15,"Non, manger c'est tricher","Lundi, Mardi, Mercredi, Jeudi, Vendredi",3,6,Oui,60
48,07/06/2017 17:47:29,Un homme,22,Branche,GM02,Oui,Oui,Bof...,Pas mal,Pas mal,J'adore !,J'adore !,Jamais bu,J'adore !,Pas mal,Pas mal,Jamais bu,J'adore !,3,20,20:30:00,22:00:00,10,Oui,Mercredi,3,4,Oui,60
49,07/06/2017 17:47:57,Un homme,23,Branche,GB04,Oui,Oui,J'adore !,Pas mal,Jamais bu,Jamais bu,J'adore !,Pas mal,Jamais bu,Pas mal,Pas mal,J'adore !,J'adore !,2,20,19:00:00,22:00:00,5,Oui,"Jeudi, Vendredi",1,9,Non,
50,07/06/2017 17:47:59,Une femme,19,Tronc commun,TC04,Oui,Oui,J'adore !,Jamais bu,Jamais bu,Jamais bu,Je déteste !,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Jamais bu,Je déteste !,0 : 1 cidre,10,19:30:00,21:30:00,5,"Non, je mange des snacks au Pic",Jeudi,3,6,Non,
51,07/06/2017 17:48:52,Un homme,22,Branche,GI04,Oui,Oui,Jamais bu,Pas mal,Pas mal,Bof...,Je déteste !,J'adore !,Jamais bu,J'adore !,Pas mal,Pas mal,Bof...,2,15,19:00:00,21:00:00,4,"Non, manger c'est tricher","Mardi, Jeudi, Vendredi",4,4,Non,
52,07/06/2017 17:49:15,Une femme,19,Tronc commun,,Oui,Oui,Jamais bu,Jamais bu,Jamais bu,Pas mal,Pas mal,Jamais bu,J'adore !,J'adore !,Pas mal,J'adore !,J'adore !,3,20,20:00:00,21:15:00,8,Oui,"Mardi, Jeudi, Vendredi",3,4,Oui,15
53,07/06/2017 17:49:29,Une femme,18,Tronc commun,TC02,Oui,Oui,J'adore !,Pas mal,Jamais bu,,Pas mal,Pas mal,Pas mal,Jamais bu,Jamais bu,J'adore !,J'adore !,3,30,19:30:00,22:15:00,15,"Non, manger c'est tricher","Jeudi, Vendredi",3,10,Oui,30
54,07/06/2017 17:49:41,Une femme,19,Branche,GP03,Oui,Oui,Pas mal,,Jamais bu,Pas mal,J'adore !,J'adore !,Bof...,Bof...,Pas mal,Pas mal,J'adore !,3,30,19:15:00,22:30:00,10,"Non, je mange des snacks au Pic","Jeudi, Vendredi",2,4,Oui,50
55,07/06/2017 17:49:58,Une femme,23,Branche,GI04,Oui,Oui,Jamais bu,Jamais bu,Pas mal,J'adore !,Bof...,,Pas mal,Pas mal,Pas mal,Pas mal,J'adore !,5,20,20:00:00,22:00:00,15,Oui,"Jeudi, Vendredi",3,6,Oui,42
56,07/06/2017 17:50:11,Un homme,18,Tronc commun,TC01,Oui,,J'adore !,Jamais bu,Pas mal,Jamais bu,J'adore !,Jamais bu,J'adore !,Jamais bu,J'adore !,J'adore !,Jamais bu,2,20,20:00:00,22:00:00,7,"Non, manger c'est tricher","Lundi, Mardi, Mercredi, Vendredi",1,2,Non,
57,07/06/2017 17:50:18,Une femme,20,Tronc commun,TC04,Oui,Oui,Pas mal,Bof...,J'adore !,Je déteste !,Je déteste !,Bof...,Pas mal,Pas mal,Pas mal,J'adore !,Bof...,3,30,18:30:00,21:00:00,9,"Non, je mange un menu au Pic","Lundi, Jeudi, Vendredi",2,4,Oui,30
58,07/06/2017 17:50:47,Un homme,21,Branche,GSU02,Oui,Oui,Jamais bu,Bof...,Bof...,Bof...,Jamais bu,J'adore !,Pas mal,Bof...,Jamais bu,J'adore !,Je déteste !,3,20,19:30:00,22:00:00,10,"Non, je mange des snacks au Pic","Lundi, Mercredi, Vendredi",2,8-10,Oui,32
59,07/06/2017 17:52:28,Un homme,20,Branche,GM01,Oui,Oui,Jamais bu,J'adore !,Bof...,J'adore !,Je déteste !,J'adore !,Pas mal,J'adore !,Pas mal,Pas mal,Je déteste !,3,20,20:30:00,22:15:00,12,"Non, manger c'est tricher","Lundi, Mercredi, Jeudi, Vendredi",4,6,Oui,30
60,07/06/2017 17:52:35,Une femme,21,Branche,Gb04,Oui,Oui,Pas mal,Pas mal,Pas mal,J'adore !,Jamais bu,J'adore !,J'adore !,Pas mal,J'adore !,J'adore !,Jamais bu,3,10,20:00:00,23:00:00,5,Oui,"Jeudi, Vendredi",4,10,Oui,30
61,07/06/2017 17:52:50,Un homme,21,Branche,Gm04,Oui,Oui,Pas mal,Bof...,Bof...,J'adore !,Je déteste !,Pas mal,Pas mal,J'adore !,Pas mal,Pas mal,Pas mal,4,25,20:00:00,22:00:00,15,"Non, manger c'est tricher","Lundi, Jeudi, Vendredi",4,4,Oui,30
62,07/06/2017 17:52:52,Un homme,21,Branche,Gm04,Oui,Oui,Pas mal,J'adore !,Bof...,J'adore !,Je déteste !,Pas mal,J'adore !,J'adore !,J'adore !,J'adore !,J'adore !,4,30,20:00:00,22:00:00,15,Oui,"Lundi, Mercredi, Jeudi",4,10,Non,
63,07/06/2017 17:53:07,Une femme,17,HuTech,HU02,Oui,Oui,Jamais bu,J'adore !,Jamais bu,Pas mal,Je déteste !,Jamais bu,Pas mal,Jamais bu,J'adore !,Pas mal,Pas mal,2,30,18:30:00,20:00:00,5,"Non, manger c'est tricher","Mercredi, Jeudi, Vendredi",1,3,Oui,
